no_of_dots,specialSymbol,lengthOfURL,suspiciousWords,prefixSuffix,countOfHttp,shorteningService,has_data_uri,check_ssl_certificate,fake_login_form,countPages,missingHyperlink,count_foreign_links,count_empty_links,count_error_links,count_redirection_links,has_foreign_css,check_favicon,google_index,httpDomain,label
0,0,0,0,0,0,0,0,0,1,161,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,126,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,77,0,0,0,1,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,110,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,48,0,0,0,1,1,1,1,0,0,0
0,0,0,1,1,0,0,0,0,0,68,0,0,0,1,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,7,0,1,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,1,0,1,348,0,1,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,96,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,133,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,189,0,0,0,0,1,1,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,78,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,1,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,322,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,45,0,0,0,1,1,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,139,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,442,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,211,0,1,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,140,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,123,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,168,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,117,0,0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,179,0,0,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,380,0,0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,1,0,0,0,0,0,123,0,0,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,207,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,86,0,0,0,1,1,1,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,92,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0,62,0,1,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,1,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,232,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,1,0,1,121,0,1,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,1,0,1,0,0,0
1,0,1,0,0,0,0,0,0,0,110,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,141,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,355,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,185,0,0,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,133,0,1,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,157,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,148,0,1,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,132,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,1,0,1,130,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,72,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,109,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,240,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,54,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,58,0,0,0,1,1,1,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,105,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,150,0,0,0,1,1,0,0,0,0,0
0,0,1,0,1,0,0,0,0,1,1125,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,0,0,1,0,1,129,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,111,0,0,0,1,1,1,0,1,0,0
0,0,0,0,1,0,0,0,0,0,168,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,155,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,151,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,133,0,0,0,1,1,0,0,0,0,0
1,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,1,0,0,0,0,1,189,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,39,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,808,0,0,0,0,1,1,0,0,0,0
1,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,1,0,0,0,0,0,83,0,0,0,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,49,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,88,0,0,0,1,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,110,0,0,0,1,1,0,1,0,0,0
0,0,1,0,1,0,0,0,0,1,66,0,1,0,1,1,1,1,1,0,0
0,0,0,0,0,0,0,1,0,1,105,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,148,0,1,0,1,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0,1,102,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,75,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,86,0,0,0,1,1,0,0,0,0,0
0,0,0,0,1,0,0,1,1,1,11,0,0,0,1,1,0,0,0,0,0
1,0,1,0,0,0,1,0,0,1,438,0,0,0,1,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,1,70,0,0,0,1,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0,1,210,0,1,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,1,1,1,8,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,78,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,117,0,1,0,1,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,1,148,0,0,0,1,1,1,1,1,0,0
0,0,0,0,0,0,0,1,0,1,191,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,1,0,0,135,0,0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,374,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,162,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,133,0,0,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0,133,0,0,0,1,1,1,0,1,0,0
0,0,0,0,0,0,0,1,0,0,133,0,0,0,1,1,1,0,1,0,0
0,0,0,0,1,0,0,0,0,0,116,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,176,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,225,0,0,0,1,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,311,0,1,0,1,1,1,1,1,0,0
0,0,0,0,0,0,1,0,0,0,42,0,0,0,1,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,57,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,1,217,0,0,0,1,1,1,0,0,0,0
0,0,1,0,1,0,0,0,0,0,104,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,124,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,1,236,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,105,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,121,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,391,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0,0,0,0,1,0,0,1,0,0,53,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,87,0,1,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,217,0,1,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,61,0,0,0,1,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,39,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,1,0,0,0,11,1,1,1,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,173,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,170,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,79,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,80,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,1,0,1,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,1,1,1,1,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,54,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,109,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,105,0,1,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,94,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,78,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,105,0,0,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,95,0,0,0,1,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,132,0,0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,197,0,0,0,1,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,56,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,290,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,31,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,1,0,1,0,0,0
0,0,0,0,0,0,0,1,0,1,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,1,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,58,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,231,0,0,0,0,1,1,1,0,0,0
0,0,1,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,0,0,0
1,0,0,0,0,0,0,0,0,0,65,0,0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,1,1,1,0,0,0
1,0,0,0,0,0,0,0,0,0,40,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,205,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,37,0,0,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,160,0,1,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,193,0,0,0,1,1,1,1,0,0,0
0,0,0,0,1,0,0,0,0,1,159,0,1,0,0,1,1,1,0,0,0
1,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,90,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,186,0,0,0,1,1,1,1,0,0,0
0,0,1,0,1,0,0,0,0,0,176,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,77,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,1,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,103,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0,116,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,97,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,27,0,0,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,139,0,1,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,49,0,0,0,1,1,0,1,0,0,0
0,0,0,0,1,0,0,0,0,1,170,0,0,0,1,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,98,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,66,0,1,0,0,1,1,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,69,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,141,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,53,0,0,0,1,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,185,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,150,0,1,0,0,1,1,0,0,0,0
0,0,0,0,0,0,1,1,1,1,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,78,0,1,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,194,0,0,0,1,1,1,1,0,0,0
1,0,0,0,0,0,0,0,0,0,94,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,95,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,1,0,0,0,0,1,257,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,98,0,0,0,1,1,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,131,0,0,0,1,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,1,120,0,0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,41,0,0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,157,0,0,0,0,1,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,63,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,80,0,1,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,193,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,68,0,1,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,12,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,93,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,58,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,0,0,0
1,0,0,0,0,0,0,0,0,0,27,0,0,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,166,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,286,0,0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,198,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,145,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,165,0,0,0,1,1,0,0,0,0,0
